OCDF-SKILLS,v2
Name,
Role,
Date,
Skill ID,Domain,Skill,What it covers,Your level (0-3),Want to grow? (Yes/No)
GV-01,GOVERN,Risk assessment & management,"Running risk assessments, maintaining a risk register, risk treatment decisions",,
GV-02,GOVERN,Security governance & policy,"Writing and maintaining policies, control frameworks, exceptions handling",,
GV-03,GOVERN,EU regulatory knowledge,"NIS2, GDPR, DORA, CRA obligations; what they require of the CDC",,
GV-04,GOVERN,Audit & compliance evidence,"Control testing, evidence collection, supporting internal/external audits",,
GV-05,GOVERN,Security metrics & reporting,"KPIs, management reporting, building meaningful dashboards",,
ID-01,IDENTIFY,Threat landscape monitoring,"Horizon scanning: tracking threat actors, campaigns and sector/geopolitical trends relevant to the organisation",,
ID-02,IDENTIFY,Threat relevance & prioritisation,"Assessing which identified threats and attacker paths are actually likely to target this organisation, given its sector, footprint and history",,
ID-03,IDENTIFY,CTI collection & analysis,"Source management, structured collection, IOC/TTP handling, intel platforms, analytic tradecraft",,
ID-04,IDENTIFY,Intelligence advisory & dissemination,"Translating analysis into strategic (leadership), tactical (detection/hunt) and operational (IR) products and advisories",,
PR-01,PROTECT,Asset & data inventory,"CMDB, crown-jewel analysis, data flows and dependencies",,
PR-02,PROTECT,Vulnerability management,"Scanning, prioritisation (CVSS/EPSS/KEV), remediation tracking",,
PR-03,PROTECT,Attack surface management,"External asset discovery, exposure monitoring, shadow IT",,
PR-04,PROTECT,Secure design & threat modelling,"Attacker paths, abuse cases, design-stage security review",,
PR-05,PROTECT,Identity & access management,"AD/Entra ID, MFA, PAM, conditional access, least privilege",,
PR-06,PROTECT,Endpoint hardening & baselines,"CIS benchmarks, GPO/MDM baselines, application control",,
PR-07,PROTECT,Network security & segmentation,"Firewalls, zoning, zero-trust concepts, remote access",,
PR-08,PROTECT,Cloud security posture,"IaaS/PaaS/SaaS secure configuration, CSPM, cloud IAM",,
PR-09,PROTECT,Email & collaboration security,"Anti-phishing controls, DMARC/DKIM/SPF, collaboration platform security",,
PR-10,PROTECT,Awareness & training delivery,"Campaigns, phishing simulations, targeted role-based training",,
DE-01,DETECT,SIEM search & query language,"Investigating in the SIEM: query language (KQL/SPL/etc.), dashboards",,
DE-02,DETECT,Log pipeline engineering,"Source onboarding, parsing, normalisation, data quality",,
DE-03,DETECT,Alert triage & investigation,"Working the queue: validating, scoping and escalating alerts",,
DE-04,DETECT,Detection engineering,"Writing, testing and tuning detection rules and analytics",,
DE-05,DETECT,Detection-as-code,"Git workflow, CI/CD for detections, rule metadata and versioning",,
DE-06,DETECT,ATT&CK mapping & coverage,Mapping detections and incidents to techniques; honest coverage assessment,,
DE-07,DETECT,Threat hunting,"Hypothesis-driven hunts, hunt documentation, converting findings to detections",,
DE-08,DETECT,Network traffic analysis,"PCAP/NetFlow analysis, IDS alerts, protocol knowledge",,
DE-09,DETECT,Adversary emulation & purple teaming,Executing attack techniques safely to validate detections,,
RS-01,RESPOND,Incident coordination,"Running an incident: roles, case management, communication cadence",,
RS-02,RESPOND,Incident analysis & scoping,"Timeline building, pivoting, root-cause analysis",,
RS-03,RESPOND,Malware triage & analysis,"Static/dynamic triage, sandbox use, verdict and IOC extraction",,
RS-04,RESPOND,Endpoint forensics,Disk and memory artefacts on Windows/macOS/Linux; evidence handling,,
RS-05,RESPOND,Cloud & SaaS forensics,"M365/Google/AWS audit logs, identity-centric investigations",,
RS-06,RESPOND,Containment & eradication,Selecting and safely executing containment actions,,
RS-07,RESPOND,Regulatory incident reporting,"24h/72h notification duties, authority liaison, report writing",,
RC-01,RECOVER,Backup & restore operations,"Backup verification, restore testing, ransomware-resilient recovery",,
RC-02,RECOVER,BC/DR planning & testing,"Continuity plans, DR exercises, RTO/RPO alignment",,
RC-03,RECOVER,Post-incident review,"Lessons-learned facilitation, improvement tracking, feedback into detections",,
PL-01,PLATFORM,EDR platform administration,"Policy management, sensor health, response feature configuration",,
PL-02,PLATFORM,SIEM platform administration,"Health, capacity, upgrades, access control of the SIEM itself",,
PL-03,PLATFORM,SOAR & workflow automation,"Playbook development, enrichment automation, guardrails",,
PL-04,PLATFORM,Scripting,Python/PowerShell/Bash for analysis and automation tasks,,
PL-05,PLATFORM,API & integration engineering,"REST APIs, webhooks, connecting security tools together",,
PL-06,PLATFORM,Windows internals & administration,"AD, authentication flows, logging internals, common attack surfaces",,
PL-07,PLATFORM,Linux internals & administration,"Services, logging (auditd/syslog), hardening, container basics",,
PF-01,PROFESSIONAL,Technical writing & documentation,"Investigation notes, playbooks, runbooks others can follow",,
PF-02,PROFESSIONAL,Stakeholder & executive communication,"Briefing management, translating risk into business language",,
PF-03,PROFESSIONAL,Mentoring & knowledge transfer,"Coaching juniors, structured handover, shadowing programmes",,
PF-04,PROFESSIONAL,Service & project management,"SLAs, planning, vendor/MSSP steering, running improvements",,
PF-05,PROFESSIONAL,Exercise & tabletop facilitation,Designing and running tabletops and simulations,,
